customer_id,name,email,gender,city,signup_date,total_orders,total_spent,avg_order_value,last_order_date,recency_days,frequency,monetary,customer_segment,cltv
U000001,Angel Hill,donaldgarcia@example.net,Other,New Roberttown,2025-03-13,1,1392.88995361328,1392.88995361328,2024-04-25,726,1,1392.88995361328,At Risk,1392.88995361328
U000002,Jesse Guzman,jennifermiles@example.com,Male,South Bridget,2024-03-05,4,1808.14998054504,452.037495136261,2024-12-24,483,4,1808.14998054504,At Risk,1808.149980545044
U000003,Adam Shaffer,jpeterson@example.org,Male,Curtisfurt,2025-07-07,3,1153.0099811554,384.336660385132,2025-10-21,182,3,1153.0099811554,At Risk,1153.009981155396
U000004,Melanie Munoz,blairamanda@example.com,Other,New Kellystad,2024-03-07,3,7620.8398809433,2540.27996031443,2025-09-10,223,3,7620.8398809433,At Risk,7620.839880943289
U000005,Janet Williams,kendragalloway@example.org,Female,South Joshuastad,2025-01-29,1,12.6599998474121,12.6599998474121,2025-01-19,457,1,12.6599998474121,At Risk,12.6599998474121
U000006,Michael Santiago,lynchgeorge@example.net,Male,East Steven,2024-04-21,6,9952.27965354919,1658.71327559153,2025-08-05,259,6,9952.27965354919,At Risk,9952.27965354918
U000007,Sara Watts,gabriellecameron@example.org,Male,Port Antonio,2024-07-03,0,0.0,0.0,,999,0,0.0,At Risk,0.0
U000008,Joseph Clark,jason76@example.net,Male,Thomasberg,2024-08-03,2,1520.91002845764,760.455014228821,2025-02-01,444,2,1520.91002845764,At Risk,1520.910028457642
U000009,Anna Baker,zhurst@example.com,Other,East William,2024-06-17,1,1297.61003112793,1297.61003112793,2025-03-06,411,1,1297.61003112793,At Risk,1297.61003112793
U000010,Brandon Rodriguez,laurahenderson@example.org,Male,Jamesmouth,2024-03-03,5,1631.67997360229,326.335994720459,2025-07-21,274,5,1631.67997360229,At Risk,1631.679973602295
U000011,Tasha Valencia,frazierdanny@example.net,Other,Kaylamouth,2024-12-27,2,1050.87996673584,525.43998336792,2024-09-18,580,2,1050.87996673584,At Risk,1050.87996673584
U000012,Ryan Chavez,teresa28@example.org,Other,Meaganhaven,2024-03-17,2,635.589996337891,317.794998168945,2025-05-05,351,2,635.589996337891,At Risk,635.58999633789
U000013,Eric Farmer,georgetracy@example.org,Other,Natashaport,2025-02-20,1,193.28999710083,193.28999710083,2024-08-09,620,1,193.28999710083,At Risk,193.28999710083
U000014,John Bradley,millertodd@example.org,Male,East Donna,2024-06-12,1,223.899993896484,223.899993896484,2025-03-25,392,1,223.899993896484,At Risk,223.899993896484
U000015,Frederick Rose,ibrandt@example.net,Other,Lake Larry,2025-10-09,0,0.0,0.0,,999,0,0.0,At Risk,0.0
U000016,Debra Kim,omartinez@example.org,Female,Andrewside,2025-11-11,1,954.859972000122,954.859972000122,2024-12-16,491,1,954.859972000122,At Risk,954.859972000122
U000017,Jeffrey Jones,perezrebecca@example.com,Male,New Johnfort,2024-06-06,1,479.799987792969,479.799987792969,2025-01-26,450,1,479.799987792969,At Risk,479.799987792969
U000018,David Walls,esanchez@example.com,Male,North Collin,2024-05-26,1,27.0799999237061,27.0799999237061,2025-11-01,171,1,27.0799999237061,At Risk,27.0799999237061
